None,date,close
0,2018-03-27,68.43
1,2018-03-26,67.31
2,2018-03-23,66.39
3,2018-03-22,67.36
4,2018-03-21,66.91
5,2018-03-20,67.45
6,2018-03-19,67.45
7,2018-03-16,67.81
8,2018-03-15,66.99
9,2018-03-14,66.59
10,2018-03-13,66.04
11,2018-03-12,65.87
12,2018-03-09,65.65
13,2018-03-08,65.3
14,2018-03-07,64.92
15,2018-03-06,65.5
16,2018-03-05,66.49
17,2018-03-02,65.18
18,2018-03-01,65.62
19,2018-02-28,65.58
20,2018-02-27,65.95
21,2018-02-26,66.97
22,2018-02-23,67.37
23,2018-02-22,65.68
24,2018-02-21,65.58
25,2018-02-20,66.37
26,2018-02-16,67.26
27,2018-02-15,66.68
28,2018-02-14,65.3
29,2018-02-13,65.58
30,2018-02-12,64.8
31,2018-02-09,64.72
32,2018-02-08,63.38
33,2018-02-07,64.45
34,2018-02-06,64.91
35,2018-02-05,66.48
36,2018-02-02,67.75
37,2018-02-01,67.84
38,2018-01-31,68.78
39,2018-01-30,68.35
40,2018-01-29,67.9
41,2018-01-26,68.75
42,2018-01-25,69.7
43,2018-01-24,68.48
44,2018-01-23,68.77
45,2018-01-22,68.13
46,2018-01-19,67.76
47,2018-01-18,67.8
48,2018-01-17,68.25
49,2018-01-16,67.5
50,2018-01-12,67.46
51,2018-01-11,68.73
52,2018-01-10,69.5
53,2018-01-09,70.58
54,2018-01-08,71.42
55,2018-01-05,70.8
56,2018-01-04,70.95
57,2018-01-03,71.8
58,2018-01-02,72.41
59,2017-12-29,73.57
60,2017-12-28,73.65
61,2017-12-27,73.24
62,2017-12-26,72.99
63,2017-12-22,73.65
64,2017-12-21,73.74
65,2017-12-20,74.5
66,2017-12-19,74.51
67,2017-12-18,75.5
68,2017-12-15,76.54
69,2017-12-14,76.29
70,2017-12-13,76.51
71,2017-12-12,76.02
72,2017-12-11,77.08
73,2017-12-08,76.93
74,2017-12-07,76.61
75,2017-12-06,76.73
76,2017-12-05,76.27
77,2017-12-04,77.39
78,2017-12-01,77.24
79,2017-11-30,77.63
80,2017-11-29,77.14
81,2017-11-28,77.02
82,2017-11-27,76.74
83,2017-11-24,76.47
84,2017-11-22,76.59
85,2017-11-21,76.77
86,2017-11-20,76.44
87,2017-11-17,76.38
88,2017-11-16,76.76
89,2017-11-15,76.59
90,2017-11-14,77.39
91,2017-11-13,76.13
92,2017-11-10,74.78
93,2017-11-09,75.49
94,2017-11-07,75.19
95,2017-11-06,73.73
96,2017-11-03,74.08
97,2017-11-02,73.72
98,2017-11-01,74.01
99,2017-10-31,74.41
100,2017-10-30,74.17
101,2017-10-27,74.02
102,2017-10-26,73.76
103,2017-10-25,73.6
104,2017-10-24,73.97
105,2017-10-23,73.92
106,2017-10-20,73.98
107,2017-10-19,73.83
108,2017-10-18,73.01
109,2017-10-17,73.2
110,2017-10-16,73.12
111,2017-10-13,73.16
112,2017-10-12,73.34
113,2017-10-11,72.76
114,2017-10-10,72.39
115,2017-10-09,71.74
116,2017-10-06,71.53
117,2017-10-05,71.49
118,2017-10-04,71.52
119,2017-10-03,70.29
120,2017-10-02,70.43
121,2017-09-29,70.24
122,2017-09-28,70.5
123,2017-09-27,70.31
124,2017-09-26,71.19
125,2017-09-25,71.04
126,2017-09-22,70.57
127,2017-09-21,71.45
128,2017-09-20,71.68
129,2017-09-19,71.98
130,2017-09-18,72.27
131,2017-09-15,73.03
132,2017-09-14,72.9
133,2017-09-13,72.59
134,2017-09-12,73.11
135,2017-09-11,74.55
136,2017-09-08,74.19
137,2017-09-07,73.83
138,2017-09-06,73.3
139,2017-09-05,74.09
140,2017-09-01,73.54
141,2017-08-31,73.63
142,2017-08-30,73.75
143,2017-08-29,73.94
144,2017-08-28,74.1
145,2017-08-25,73.57
146,2017-08-24,73.39
147,2017-08-23,73.31
148,2017-08-22,72.81
149,2017-08-21,72.67
150,2017-08-18,72.16
151,2017-08-17,72.0
152,2017-08-16,72.02
153,2017-08-15,71.52
154,2017-08-14,71.05
155,2017-08-11,70.56
156,2017-08-10,71.36
157,2017-08-09,70.96
158,2017-08-08,71.35
159,2017-08-07,71.39
160,2017-08-04,70.88
161,2017-08-03,71.2
162,2017-08-02,70.93
163,2017-08-01,70.62
164,2017-07-31,70.54
165,2017-07-28,70.43
166,2017-07-27,70.67
167,2017-07-26,69.45
168,2017-07-25,68.84
169,2017-07-24,69.19
170,2017-07-21,69.98
171,2017-07-20,68.7
172,2017-07-19,68.65
173,2017-07-18,68.36
174,2017-07-17,68.55
175,2017-07-14,68.17
176,2017-07-13,68.28
177,2017-07-12,68.99
178,2017-07-11,68.84
179,2017-07-10,68.89
180,2017-07-07,69.15
181,2017-07-06,69.02
182,2017-07-05,68.82
183,2017-07-03,69.0
184,2017-06-30,69.47
185,2017-06-29,69.6
186,2017-06-28,70.15
187,2017-06-27,70.72
188,2017-06-26,71.87
189,2017-06-23,71.55
190,2017-06-22,71.79
191,2017-06-21,72.4
192,2017-06-20,72.56
193,2017-06-19,72.06
194,2017-06-16,72.42
195,2017-06-15,72.14
196,2017-06-14,71.96
197,2017-06-13,71.65
198,2017-06-12,71.41
199,2017-06-09,71.86
200,2017-06-08,71.95
201,2017-06-07,72.62
202,2017-06-06,72.13
203,2017-06-05,72.4
204,2017-06-02,72.67
205,2017-06-01,72.21
206,2017-05-31,71.78
207,2017-05-30,71.21
208,2017-05-26,70.87
209,2017-05-25,70.8
210,2017-05-24,70.2
211,2017-05-23,69.59
212,2017-05-22,69.42
213,2017-05-19,68.72
214,2017-05-18,68.31
215,2017-05-17,68.15
216,2017-05-16,67.86
217,2017-05-15,68.56
218,2017-05-12,68.06
219,2017-05-11,67.55
220,2017-05-10,67.41
221,2017-05-09,67.31
222,2017-05-08,67.73
223,2017-05-05,68.41
224,2017-05-04,68.02
225,2017-05-03,67.9
226,2017-05-02,68.01
227,2017-05-01,67.47
228,2017-04-28,67.83
229,2017-04-27,68.1
230,2017-04-26,67.69
231,2017-04-25,67.86
232,2017-04-24,67.97
233,2017-04-21,67.86
234,2017-04-20,67.44
235,2017-04-19,67.74
236,2017-04-18,67.98
237,2017-04-17,67.74
238,2017-04-13,67.54
239,2017-04-12,67.79
240,2017-04-11,67.39
241,2017-04-10,67.5
242,2017-04-07,67.32
243,2017-04-06,67.62
244,2017-04-05,67.83
245,2017-04-04,67.29
246,2017-04-03,67.15
247,2017-03-31,67.13
248,2017-03-30,67.16
249,2017-03-29,67.39
250,2017-03-28,67.84
251,2017-03-27,67.69
252,2017-03-24,67.79
253,2017-03-23,67.45
254,2017-03-22,67.44
255,2017-03-21,66.98
256,2017-03-20,66.13
257,2017-03-17,66.47
258,2017-03-16,66.01
259,2017-03-15,66.68
260,2017-03-14,65.79
261,2017-03-13,65.81
262,2017-03-10,65.4
263,2017-03-09,64.84
264,2017-03-08,65.15
265,2017-03-07,66.24
266,2017-03-06,66.35
267,2017-03-03,66.52
268,2017-03-02,66.5
269,2017-03-01,66.12
270,2017-02-28,66.97
271,2017-02-27,66.7
272,2017-02-24,67.15
273,2017-02-23,66.01
274,2017-02-22,65.31
275,2017-02-21,64.76
276,2017-02-17,64.11
277,2017-02-16,63.7
278,2017-02-15,63.29
279,2017-02-14,63.27
280,2017-02-13,63.79
281,2017-02-10,63.95
282,2017-02-09,63.42
283,2017-02-08,63.8
284,2017-02-07,63.93
285,2017-02-06,63.82
286,2017-02-03,64.03
287,2017-02-02,63.78
288,2017-02-01,63.09
289,2017-01-31,64.06
290,2017-01-30,63.21
291,2017-01-27,62.97
292,2017-01-26,62.64
293,2017-01-25,62.53
294,2017-01-24,62.78
295,2017-01-23,62.71
296,2017-01-20,62.91
297,2017-01-19,62.7
298,2017-01-18,63.46
299,2017-01-17,63.81
300,2017-01-13,63.23
301,2017-01-12,63.29
302,2017-01-11,63.18
303,2017-01-10,62.12
304,2017-01-09,62.31
305,2017-01-06,63.14
306,2017-01-05,63.19
307,2017-01-04,62.85
308,2017-01-03,62.76
309,2016-12-30,62.96
310,2016-12-29,63.28
311,2016-12-28,62.39
312,2016-12-27,63.13
313,2016-12-23,63.17
314,2016-12-22,63.24
315,2016-12-21,62.8
316,2016-12-20,63.21
317,2016-12-19,62.94
318,2016-12-16,62.81
319,2016-12-15,62.11
320,2016-12-14,61.7
321,2016-12-13,62.71
322,2016-12-12,61.95
323,2016-12-09,60.99
324,2016-12-08,60.18
325,2016-12-07,60.25
326,2016-12-06,59.47
327,2016-12-05,59.2
328,2016-12-02,58.7
329,2016-12-01,58.16
330,2016-11-30,59.05
331,2016-11-29,61.27
332,2016-11-28,60.9
333,2016-11-25,59.72
334,2016-11-23,58.82
335,2016-11-22,59.17
336,2016-11-21,59.32
337,2016-11-18,58.44
338,2016-11-17,58.86
339,2016-11-16,58.99
340,2016-11-15,59.46
341,2016-11-14,58.72
342,2016-11-11,59.99
343,2016-11-10,59.74
344,2016-11-09,61.25
345,2016-11-08,63.23
346,2016-11-07,63.24
347,2016-11-04,62.4
348,2016-11-03,62.92
349,2016-11-02,62.61
350,2016-11-01,63.38
351,2016-10-31,64.84
352,2016-10-28,63.41
353,2016-10-27,63.19
354,2016-10-26,63.53
355,2016-10-25,63.46
356,2016-10-24,63.03
357,2016-10-21,62.48
358,2016-10-20,62.91
359,2016-10-19,63.19
360,2016-10-18,63.37
361,2016-10-17,62.97
362,2016-10-14,62.3
363,2016-10-13,62.53
364,2016-10-12,62.0
365,2016-10-11,61.34
366,2016-10-10,62.21
367,2016-10-07,61.79
368,2016-10-06,62.25
369,2016-10-05,62.18
370,2016-10-04,62.18
371,2016-10-03,63.51
372,2016-09-30,64.21
373,2016-09-29,64.5
374,2016-09-28,65.36
375,2016-09-27,65.5
376,2016-09-26,66.36
377,2016-09-23,66.66
378,2016-09-22,66.6
379,2016-09-21,66.19
380,2016-09-20,65.01
381,2016-09-19,65.42
382,2016-09-16,64.81
383,2016-09-15,64.3
384,2016-09-14,64.02
385,2016-09-13,63.81
386,2016-09-12,64.71
387,2016-09-09,63.71
388,2016-09-08,66.1
389,2016-09-07,66.05
390,2016-09-06,66.04
391,2016-09-02,65.24
392,2016-09-01,64.41
393,2016-08-31,64.57
394,2016-08-30,64.32
395,2016-08-29,65.18
396,2016-08-26,64.69
397,2016-08-25,66.37
398,2016-08-24,66.34
399,2016-08-23,66.28
400,2016-08-22,66.52
401,2016-08-19,66.37
402,2016-08-18,67.4
403,2016-08-17,66.5
404,2016-08-16,65.68
405,2016-08-15,66.52
406,2016-08-12,67.55
407,2016-08-11,67.72
408,2016-08-10,67.56
409,2016-08-09,67.39
410,2016-08-08,67.15
411,2016-08-05,67.85
412,2016-08-04,68.64
413,2016-08-03,68.45
414,2016-08-02,69.01
415,2016-08-01,69.31
416,2016-07-29,69.3
417,2016-07-28,68.92
418,2016-07-27,68.86
419,2016-07-26,69.74
420,2016-07-25,69.77
421,2016-07-22,70.06
422,2016-07-21,69.43
423,2016-07-20,69.35
424,2016-07-19,69.77
425,2016-07-18,69.95
426,2016-07-15,69.64
427,2016-07-14,69.38
428,2016-07-13,70.01
429,2016-07-12,69.58
430,2016-07-11,70.7
431,2016-07-08,70.71
432,2016-07-07,70.28
433,2016-07-06,71.27
434,2016-07-05,70.81
435,2016-07-01,70.14
436,2016-06-30,70.09
437,2016-06-29,68.72
438,2016-06-28,68.64
439,2016-06-27,68.35
440,2016-06-24,67.26
441,2016-06-23,66.59
442,2016-06-22,66.5
443,2016-06-21,66.77
444,2016-06-20,66.79
445,2016-06-17,67.21
446,2016-06-16,66.88
447,2016-06-15,66.24
448,2016-06-14,66.83
449,2016-06-13,66.55
450,2016-06-10,66.85
451,2016-06-09,66.96
452,2016-06-08,66.2
453,2016-06-07,65.84
454,2016-06-06,65.7
455,2016-06-03,65.81
456,2016-06-02,64.68
457,2016-06-01,64.89
458,2016-05-31,64.73
459,2016-05-27,64.31
460,2016-05-26,64.33
461,2016-05-25,63.43
462,2016-05-24,63.63
463,2016-05-23,62.95
464,2016-05-20,63.8
465,2016-05-19,63.85
466,2016-05-18,63.3
467,2016-05-17,64.51
468,2016-05-16,65.93
469,2016-05-13,65.61
470,2016-05-12,65.66
471,2016-05-11,65.21
472,2016-05-10,65.05
473,2016-05-09,65.29
474,2016-05-06,64.56
475,2016-05-05,65.15
476,2016-05-04,65.39
477,2016-05-03,64.5
478,2016-05-02,64.36
479,2016-04-29,63.5
480,2016-04-28,63.06
481,2016-04-27,63.93
482,2016-04-26,62.9
483,2016-04-25,62.81
484,2016-04-22,62.74
485,2016-04-21,62.26
486,2016-04-20,63.7
487,2016-04-19,65.84
488,2016-04-18,66.24
489,2016-04-15,66.05
490,2016-04-14,65.59
491,2016-04-13,65.79
492,2016-04-12,66.31
493,2016-04-11,65.68
494,2016-04-08,66.01
495,2016-04-07,65.5
496,2016-04-06,65.63
497,2016-04-05,65.4
498,2016-04-04,66.58
499,2016-04-01,67.01
500,2016-03-31,66.4
501,2016-03-30,66.02
502,2016-03-29,66.03
503,2016-03-28,65.0
